source_url,target_url,similarity,reason
https://www.getmaxim.ai/docs/datasets/dataset-column/delete-dataset-columns,https://www.getmaxim.ai/docs/prompts/prompt-config/update-prompt-config,0.8664,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-column/get-dataset-columns,https://www.getmaxim.ai/docs/datasets/dataset-split/get-dataset-splits,0.8977,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-column/get-dataset-columns,https://www.getmaxim.ai/docs/datasets/dataset-split/update-dataset-split,0.8493,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-column/get-dataset-columns,https://www.getmaxim.ai/docs/integrations/integration/get-integrations,0.826,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-column/update-dataset-columns,https://www.getmaxim.ai/docs/datasets/dataset/create-dataset,0.9598,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-column/update-dataset-columns,https://www.getmaxim.ai/docs/datasets/dataset-split/create-dataset-split,0.9492,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-column/update-dataset-columns,https://www.getmaxim.ai/docs/prompts/prompt-config/update-prompt-config,0.8822,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-entry/create-dataset-entries,https://www.getmaxim.ai/docs/datasets/dataset-split/update-dataset-split,0.8916,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-entry/create-dataset-entries,https://www.getmaxim.ai/docs/prompts/prompt/update-prompt,0.8416,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-entry/create-dataset-entries,https://www.getmaxim.ai/docs/prompts/prompt/create-prompt,0.8196,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-entry/delete-dataset-entries,https://www.getmaxim.ai/docs/datasets/dataset-split/delete-dataset-split,0.7348,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-entry/delete-dataset-entries,https://www.getmaxim.ai/docs/datasets/dataset/delete-dataset,0.713,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-entry/delete-dataset-entries,https://www.getmaxim.ai/docs/datasets/dataset/get-datasets,0.6393,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-entry/get-dataset-entries,https://www.getmaxim.ai/docs/datasets/dataset/get-datasets,0.9239,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-entry/get-dataset-entries,https://www.getmaxim.ai/docs/evaluators/evaluator/get-evaluators,0.7438,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-entry/get-dataset-entries,https://www.getmaxim.ai/docs/test run entries/test-run-entries/get-test-run-entries,0.7,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-entry/update-dataset-entries,https://www.getmaxim.ai/docs/datasets/dataset-split/update-dataset-split,0.897,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-entry/update-dataset-entries,https://www.getmaxim.ai/docs/prompts/prompt/update-prompt,0.8398,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-entry/update-dataset-entries,https://www.getmaxim.ai/docs/datasets/dataset-split/get-dataset-splits,0.8218,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-split/create-dataset-split,https://www.getmaxim.ai/docs/datasets/dataset-column/update-dataset-columns,0.9492,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-split/create-dataset-split,https://www.getmaxim.ai/docs/datasets/dataset/create-dataset,0.9379,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-split/create-dataset-split,https://www.getmaxim.ai/docs/datasets/dataset-column/create-dataset-columns,0.9369,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-split/delete-dataset-split,https://www.getmaxim.ai/docs/datasets/dataset/delete-dataset,0.9433,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-split/delete-dataset-split,https://www.getmaxim.ai/docs/integrations/integration/delete-integration,0.8251,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-split/delete-dataset-split,https://www.getmaxim.ai/docs/prompts/prompt/delete-prompt,0.7954,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-split/get-dataset-splits,https://www.getmaxim.ai/docs/datasets/dataset-column/get-dataset-columns,0.8977,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-split/get-dataset-splits,https://www.getmaxim.ai/docs/datasets/dataset-entry/update-dataset-entries,0.8218,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-split/get-dataset-splits,https://www.getmaxim.ai/docs/datasets/dataset-entry/create-dataset-entries,0.8136,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-split/update-dataset-split,https://www.getmaxim.ai/docs/datasets/dataset-entry/update-dataset-entries,0.897,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-split/update-dataset-split,https://www.getmaxim.ai/docs/datasets/dataset-entry/create-dataset-entries,0.8916,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-split/update-dataset-split,https://www.getmaxim.ai/docs/datasets/dataset-column/get-dataset-columns,0.8493,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset/create-dataset,https://www.getmaxim.ai/docs/datasets/dataset-column/create-dataset-columns,0.9896,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset/create-dataset,https://www.getmaxim.ai/docs/datasets/dataset-column/update-dataset-columns,0.9598,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset/create-dataset,https://www.getmaxim.ai/docs/datasets/dataset-split/create-dataset-split,0.9379,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset/delete-dataset,https://www.getmaxim.ai/docs/datasets/dataset-split/delete-dataset-split,0.9433,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset/delete-dataset,https://www.getmaxim.ai/docs/integrations/integration/delete-integration,0.9075,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset/delete-dataset,https://www.getmaxim.ai/docs/prompts/prompt/delete-prompt,0.8788,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset/get-datasets,https://www.getmaxim.ai/docs/datasets/dataset-entry/get-dataset-entries,0.9239,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset/get-datasets,https://www.getmaxim.ai/docs/evaluators/evaluator/get-evaluators,0.7726,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset/get-datasets,https://www.getmaxim.ai/docs/prompts/prompt/get-prompts,0.7255,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/evaluators/evaluator/execute-an-evaluator,https://www.getmaxim.ai/docs/library/concepts,0.5981,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/evaluators/evaluator/execute-an-evaluator,https://getmaxim.ai/docs/library/concepts,0.5981,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/evaluators/evaluator/execute-an-evaluator,https://www.getmaxim.ai/docs/library/evaluators/custom-evaluators,0.5901,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/evaluators/evaluator/get-evaluators,https://www.getmaxim.ai/docs/test run entries/test-run-entries/get-test-run-entries,0.7776,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/evaluators/evaluator/get-evaluators,https://www.getmaxim.ai/docs/datasets/dataset/get-datasets,0.7726,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/evaluators/evaluator/get-evaluators,https://www.getmaxim.ai/docs/test runs/test-run/get-test-runs,0.7606,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/folders/folder-contents/get-folder-contents,https://www.getmaxim.ai/docs/folders/folder/get-folders,0.9572,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/folders/folder-contents/get-folder-contents,https://www.getmaxim.ai/docs/datasets/dataset/get-datasets,0.7206,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/folders/folder-contents/get-folder-contents,https://www.getmaxim.ai/docs/prompts/prompt/get-prompts,0.6858,High semantic similarity; add contextual link
